version	cancer	organ	start_age	stop_age	gender	gene	cumulative_risk	ci_lower_wald	ci_upper_wald	ci_lower_wilson	ci_upper_wilson
V3_20190219_A	151	Stomach	25	30	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	35	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	40	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	45	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	50	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	55	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	60	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	65	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	70	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	75	MALE	PMS2	0.0	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	30	35	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	40	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	45	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	50	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	55	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	60	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	65	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	70	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	75	MALE	PMS2	0.0	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	35	40	MALE	PMS2	0.0	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	45	MALE	PMS2	0.0	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	50	MALE	PMS2	0.0	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	55	MALE	PMS2	0.0	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	60	MALE	PMS2	0.0	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	65	MALE	PMS2	0.0	0.0	0.0	0.0	24.0
