version	cancer	organ	start_age	stop_age	gender	gene	cumulative_risk	ci_lower_wald	ci_upper_wald	ci_lower_wilson	ci_upper_wilson
V3_20190219_A	151	Stomach	25	30	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	35	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	40	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	45	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	50	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	55	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	60	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	65	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	70	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	25	75	MALE	PMS2	0.00	0.0	0.0	0.0	65.9
V3_20190219_A	151	Stomach	30	35	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	40	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	45	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	50	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	55	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	60	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	65	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	70	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	30	75	MALE	PMS2	0.00	0.0	0.0	0.0	37.5
V3_20190219_A	151	Stomach	35	40	MALE	PMS2	0.00	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	45	MALE	PMS2	0.00	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	50	MALE	PMS2	0.00	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	55	MALE	PMS2	0.00	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	60	MALE	PMS2	0.00	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	65	MALE	PMS2	0.00	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	70	MALE	PMS2	0.00	0.0	0.0	0.0	24.0
V3_20190219_A	151	Stomach	35	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	40	45	MALE	PMS2	0.00	0.0	0.0	0.0	21.1
V3_20190219_A	151	Stomach	40	50	MALE	PMS2	0.00	0.0	0.0	0.0	21.1
V3_20190219_A	151	Stomach	40	55	MALE	PMS2	0.00	0.0	0.0	0.0	21.1
V3_20190219_A	151	Stomach	40	60	MALE	PMS2	0.00	0.0	0.0	0.0	21.1
V3_20190219_A	151	Stomach	40	65	MALE	PMS2	0.00	0.0	0.0	0.0	21.1
V3_20190219_A	151	Stomach	40	70	MALE	PMS2	0.00	0.0	0.0	0.0	21.1
V3_20190219_A	151	Stomach	40	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	45	50	MALE	PMS2	0.00	0.0	0.0	0.0	15.6
V3_20190219_A	151	Stomach	45	55	MALE	PMS2	0.00	0.0	0.0	0.0	15.6
V3_20190219_A	151	Stomach	45	60	MALE	PMS2	0.00	0.0	0.0	0.0	15.6
V3_20190219_A	151	Stomach	45	65	MALE	PMS2	0.00	0.0	0.0	0.0	15.6
V3_20190219_A	151	Stomach	45	70	MALE	PMS2	0.00	0.0	0.0	0.0	18.0
V3_20190219_A	151	Stomach	45	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	50	55	MALE	PMS2	0.00	0.0	0.0	0.0	12.1
V3_20190219_A	151	Stomach	50	60	MALE	PMS2	0.00	0.0	0.0	0.0	12.1
V3_20190219_A	151	Stomach	50	65	MALE	PMS2	0.00	0.0	0.0	0.0	14.3
V3_20190219_A	151	Stomach	50	70	MALE	PMS2	0.00	0.0	0.0	0.0	18.0
V3_20190219_A	151	Stomach	50	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	55	60	MALE	PMS2	0.00	0.0	0.0	0.0	11.4
V3_20190219_A	151	Stomach	55	65	MALE	PMS2	0.00	0.0	0.0	0.0	14.3
V3_20190219_A	151	Stomach	55	70	MALE	PMS2	0.00	0.0	0.0	0.0	18.0
V3_20190219_A	151	Stomach	55	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	60	65	MALE	PMS2	0.00	0.0	0.0	0.0	14.3
V3_20190219_A	151	Stomach	60	70	MALE	PMS2	0.00	0.0	0.0	0.0	18.0
V3_20190219_A	151	Stomach	60	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	65	70	MALE	PMS2	0.00	0.0	0.0	0.0	18.0
V3_20190219_A	151	Stomach	65	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	70	75	MALE	PMS2	0.00	0.0	0.0	0.0	25.6
V3_20190219_A	151	Stomach	25	30	MALE	MLH1	0.00	0.0	0.0	0.0	3.1
V3_20190219_A	151	Stomach	25	35	MALE	MLH1	0.00	0.0	0.0	0.0	3.1
V3_20190219_A	151	Stomach	25	40	MALE	MLH1	0.00	0.0	0.0	0.0	3.1
V3_20190219_A	151	Stomach	25	45	MALE	MLH1	0.33	0.0	1.0	0.1	3.5
V3_20190219_A	151	Stomach	25	50	MALE	MLH1	0.33	0.0	1.0	0.1	3.5
