age	sex	cancer	organ	gene	time_years	events_cases	air
25	BOTH	189	Ureter/kidney	MLH1	1328	0	0
30	BOTH	189	Ureter/kidney	MLH1	2102	0	0
35	BOTH	189	Ureter/kidney	MLH1	2733	1	0.000365898280278083
40	BOTH	189	Ureter/kidney	MLH1	3211	0	0
45	BOTH	189	Ureter/kidney	MLH1	3313	4	0.0012073649260489
50	BOTH	189	Ureter/kidney	MLH1	3069	2	0.00065167807103291
55	BOTH	189	Ureter/kidney	MLH1	2582	1	0.000387296669248644
60	BOTH	189	Ureter/kidney	MLH1	2040	4	0.00196078431372549
65	BOTH	189	Ureter/kidney	MLH1	1416	3	0.00211864406779661
70	BOTH	189	Ureter/kidney	MLH1	944	2	0.00211864406779661
75	BOTH	189	Ureter/kidney	MLH1	547	3	0.00548446069469835
25	BOTH	189	Ureter/kidney	MSH2	1016	0	0
30	BOTH	189	Ureter/kidney	MSH2	1503	0	0
35	BOTH	189	Ureter/kidney	MSH2	2029	0	0
40	BOTH	189	Ureter/kidney	MSH2	2477	6	0.00242228502220428
45	BOTH	189	Ureter/kidney	MSH2	2661	6	0.00225479143179256
50	BOTH	189	Ureter/kidney	MSH2	2620	11	0.00419847328244275
55	BOTH	189	Ureter/kidney	MSH2	2343	11	0.00469483568075117
60	BOTH	189	Ureter/kidney	MSH2	1822	19	0.0104281009879254
65	BOTH	189	Ureter/kidney	MSH2	1209	9	0.00744416873449132
70	BOTH	189	Ureter/kidney	MSH2	685	6	0.00875912408759124
75	BOTH	189	Ureter/kidney	MSH2	295	4	0.0135593220338983
25	BOTH	189	Ureter/kidney	MSH6	146	0	0
30	BOTH	189	Ureter/kidney	MSH6	292	0	0
35	BOTH	189	Ureter/kidney	MSH6	464	0	0
40	BOTH	189	Ureter/kidney	MSH6	560	0	0
45	BOTH	189	Ureter/kidney	MSH6	581	0	0
50	BOTH	189	Ureter/kidney	MSH6	624	0	0
55	BOTH	189	Ureter/kidney	MSH6	692	2	0.00289017341040462
60	BOTH	189	Ureter/kidney	MSH6	640	2	0.003125
65	BOTH	189	Ureter/kidney	MSH6	501	1	0.00199600798403194
70	BOTH	189	Ureter/kidney	MSH6	316	0	0
75	BOTH	189	Ureter/kidney	MSH6	181	0	0
25	BOTH	189	Ureter/kidney	PMS2	50	0	0
30	BOTH	189	Ureter/kidney	PMS2	80	0	0
35	BOTH	189	Ureter/kidney	PMS2	150	0	0
40	BOTH	189	Ureter/kidney	PMS2	178	0	0
45	BOTH	189	Ureter/kidney	PMS2	249	0	0
50	BOTH	189	Ureter/kidney	PMS2	323	0	0
55	BOTH	189	Ureter/kidney	PMS2	370	0	0
60	BOTH	189	Ureter/kidney	PMS2	315	0	0
65	BOTH	189	Ureter/kidney	PMS2	240	0	0
70	BOTH	189	Ureter/kidney	PMS2	132	1	0.00757575757575758
75	BOTH	189	Ureter/kidney	PMS2	79	0	0
25	BOTH	153	Colon	MLH1	1256	4	0.00318471337579618
30	BOTH	153	Colon	MLH1	1859	21	0.0112963959117805
35	BOTH	153	Colon	MLH1	2128	27	0.012687969924812
40	BOTH	153	Colon	MLH1	2269	35	0.0154252974878801
45	BOTH	153	Colon	MLH1	2054	30	0.0146056475170399
50	BOTH	153	Colon	MLH1	1666	29	0.017406962785114
55	BOTH	153	Colon	MLH1	1209	20	0.0165425971877585
