Age	Sex	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
25	MALE	MLH1	CRC	0,007092	423	3
26	MALE	MLH1	CRC	0,007092	423	3
27	MALE	MLH1	CRC	0,007092	423	3
28	MALE	MLH1	CRC	0,007092	423	3
29	MALE	MLH1	CRC	0,007092	423	3
30	MALE	MLH1	CRC	0,015000	600	9
31	MALE	MLH1	CRC	0,015000	600	9
32	MALE	MLH1	CRC	0,015000	600	9
33	MALE	MLH1	CRC	0,015000	600	9
34	MALE	MLH1	CRC	0,015000	600	9
35	MALE	MLH1	CRC	0,014682	613	9
36	MALE	MLH1	CRC	0,014682	613	9
37	MALE	MLH1	CRC	0,014682	613	9
38	MALE	MLH1	CRC	0,014682	613	9
39	MALE	MLH1	CRC	0,014682	613	9
40	MALE	MLH1	CRC	0,019578	664	13
41	MALE	MLH1	CRC	0,019578	664	13
42	MALE	MLH1	CRC	0,019578	664	13
43	MALE	MLH1	CRC	0,019578	664	13
44	MALE	MLH1	CRC	0,019578	664	13
45	MALE	MLH1	CRC	0,024390	492	12
46	MALE	MLH1	CRC	0,024390	492	12
47	MALE	MLH1	CRC	0,024390	492	12
48	MALE	MLH1	CRC	0,024390	492	12
49	MALE	MLH1	CRC	0,024390	492	12
50	MALE	MLH1	CRC	0,025862	348	9
51	MALE	MLH1	CRC	0,025862	348	9
52	MALE	MLH1	CRC	0,025862	348	9
53	MALE	MLH1	CRC	0,025862	348	9
54	MALE	MLH1	CRC	0,025862	348	9
55	MALE	MLH1	CRC	0,008929	224	2
56	MALE	MLH1	CRC	0,008929	224	2
57	MALE	MLH1	CRC	0,008929	224	2
58	MALE	MLH1	CRC	0,008929	224	2
59	MALE	MLH1	CRC	0,008929	224	2
60	MALE	MLH1	CRC	0,008403	119	1
61	MALE	MLH1	CRC	0,008403	119	1
62	MALE	MLH1	CRC	0,008403	119	1
63	MALE	MLH1	CRC	0,008403	119	1
64	MALE	MLH1	CRC	0,008403	119	1
65	MALE	MLH1	CRC	0,000000	72	0
66	MALE	MLH1	CRC	0,000000	72	0
67	MALE	MLH1	CRC	0,000000	72	0
68	MALE	MLH1	CRC	0,000000	72	0
69	MALE	MLH1	CRC	0,000000	72	0
70	MALE	MLH1	CRC	0,000000	72	0
25	MALE	MSH2	CRC	0,000000	200	0
26	MALE	MSH2	CRC	0,000000	200	0
27	MALE	MSH2	CRC	0,000000	200	0
28	MALE	MSH2	CRC	0,000000	200	0
29	MALE	MSH2	CRC	0,000000	200	0
30	MALE	MSH2	CRC	0,003145	318	1
31	MALE	MSH2	CRC	0,003145	318	1
32	MALE	MSH2	CRC	0,003145	318	1
33	MALE	MSH2	CRC	0,003145	318	1
34	MALE	MSH2	CRC	0,003145	318	1
35	MALE	MSH2	CRC	0,012903	310	4
36	MALE	MSH2	CRC	0,012903	310	4
37	MALE	MSH2	CRC	0,012903	310	4
38	MALE	MSH2	CRC	0,012903	310	4
39	MALE	MSH2	CRC	0,012903	310	4
40	MALE	MSH2	CRC	0,009967	301	3
41	MALE	MSH2	CRC	0,009967	301	3
42	MALE	MSH2	CRC	0,009967	301	3
43	MALE	MSH2	CRC	0,009967	301	3
44	MALE	MSH2	CRC	0,009967	301	3
45	MALE	MSH2	CRC	0,007813	256	2
46	MALE	MSH2	CRC	0,007813	256	2
47	MALE	MSH2	CRC	0,007813	256	2
48	MALE	MSH2	CRC	0,007813	256	2
49	MALE	MSH2	CRC	0,007813	256	2
50	MALE	MSH2	CRC	0,005348	187	1
51	MALE	MSH2	CRC	0,005348	187	1
52	MALE	MSH2	CRC	0,005348	187	1
53	MALE	MSH2	CRC	0,005348	187	1
54	MALE	MSH2	CRC	0,005348	187	1
55	MALE	MSH2	CRC	0,021583	139	3
56	MALE	MSH2	CRC	0,021583	139	3
57	MALE	MSH2	CRC	0,021583	139	3
58	MALE	MSH2	CRC	0,021583	139	3
59	MALE	MSH2	CRC	0,021583	139	3
60	MALE	MSH2	CRC	0,029412	68	2
61	MALE	MSH2	CRC	0,029412	68	2
62	MALE	MSH2	CRC	0,029412	68	2
63	MALE	MSH2	CRC	0,029412	68	2
64	MALE	MSH2	CRC	0,029412	68	2
65	MALE	MSH2	CRC	0,000000	27	0
66	MALE	MSH2	CRC	0,000000	27	0
67	MALE	MSH2	CRC	0,000000	27	0
68	MALE	MSH2	CRC	0,000000	27	0
69	MALE	MSH2	CRC	0,000000	27	0
70	MALE	MSH2	CRC	0,000000	27	0
25	MALE	MSH6	CRC	0,000000	22	0
26	MALE	MSH6	CRC	0,000000	22	0
27	MALE	MSH6	CRC	0,000000	22	0
28	MALE	MSH6	CRC	0,000000	22	0
29	MALE	MSH6	CRC	0,000000	22	0
30	MALE	MSH6	CRC	0,000000	70	0
31	MALE	MSH6	CRC	0,000000	70	0
32	MALE	MSH6	CRC	0,000000	70	0
33	MALE	MSH6	CRC	0,000000	70	0
34	MALE	MSH6	CRC	0,000000	70	0
35	MALE	MSH6	CRC	0,000000	111	0
36	MALE	MSH6	CRC	0,000000	111	0
37	MALE	MSH6	CRC	0,000000	111	0
38	MALE	MSH6	CRC	0,000000	111	0
39	MALE	MSH6	CRC	0,000000	111	0
40	MALE	MSH6	CRC	0,000000	111	0
41	MALE	MSH6	CRC	0,000000	111	0
42	MALE	MSH6	CRC	0,000000	111	0
43	MALE	MSH6	CRC	0,000000	111	0
44	MALE	MSH6	CRC	0,000000	111	0
45	MALE	MSH6	CRC	0,000000	84	0
46	MALE	MSH6	CRC	0,000000	84	0
47	MALE	MSH6	CRC	0,000000	84	0
48	MALE	MSH6	CRC	0,000000	84	0
49	MALE	MSH6	CRC	0,000000	84	0
50	MALE	MSH6	CRC	0,000000	86	0
51	MALE	MSH6	CRC	0,000000	86	0
