Age	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
25	MLH1	END	0,000000	414	0
26	MLH1	END	0,000000	414	0
27	MLH1	END	0,000000	414	0
28	MLH1	END	0,000000	414	0
29	MLH1	END	0,000000	414	0
30	MLH1	END	0,000000	563	0
31	MLH1	END	0,000000	563	0
32	MLH1	END	0,000000	563	0
33	MLH1	END	0,000000	563	0
34	MLH1	END	0,000000	563	0
35	MLH1	END	0,006079	658	4
36	MLH1	END	0,006079	658	4
37	MLH1	END	0,006079	658	4
38	MLH1	END	0,006079	658	4
39	MLH1	END	0,006079	658	4
40	MLH1	END	0,017028	646	11
41	MLH1	END	0,017028	646	11
42	MLH1	END	0,017028	646	11
43	MLH1	END	0,017028	646	11
44	MLH1	END	0,017028	646	11
45	MLH1	END	0,016327	490	8
46	MLH1	END	0,016327	490	8
47	MLH1	END	0,016327	490	8
48	MLH1	END	0,016327	490	8
49	MLH1	END	0,016327	490	8
50	MLH1	END	0,027523	327	9
51	MLH1	END	0,027523	327	9
52	MLH1	END	0,027523	327	9
53	MLH1	END	0,027523	327	9
54	MLH1	END	0,027523	327	9
55	MLH1	END	0,016043	187	3
56	MLH1	END	0,016043	187	3
57	MLH1	END	0,016043	187	3
58	MLH1	END	0,016043	187	3
59	MLH1	END	0,016043	187	3
60	MLH1	END	0,000000	107	0
61	MLH1	END	0,000000	107	0
62	MLH1	END	0,000000	107	0
63	MLH1	END	0,000000	107	0
64	MLH1	END	0,000000	107	0
65	MLH1	END	0,000000	60	0
66	MLH1	END	0,000000	60	0
67	MLH1	END	0,000000	60	0
68	MLH1	END	0,000000	60	0
69	MLH1	END	0,000000	60	0
70	MLH1	END	0,000000	60	0
25	MSH2	END	0,000000	241	0
26	MSH2	END	0,000000	241	0
27	MSH2	END	0,000000	241	0
28	MSH2	END	0,000000	241	0
29	MSH2	END	0,000000	241	0
30	MSH2	END	0,003236	309	1
31	MSH2	END	0,003236	309	1
32	MSH2	END	0,003236	309	1
33	MSH2	END	0,003236	309	1
34	MSH2	END	0,003236	309	1
35	MSH2	END	0,000000	368	0
36	MSH2	END	0,000000	368	0
37	MSH2	END	0,000000	368	0
38	MSH2	END	0,000000	368	0
39	MSH2	END	0,000000	368	0
40	MSH2	END	0,008929	336	3
41	MSH2	END	0,008929	336	3
42	MSH2	END	0,008929	336	3
43	MSH2	END	0,008929	336	3
44	MSH2	END	0,008929	336	3
45	MSH2	END	0,020833	240	5
46	MSH2	END	0,020833	240	5
47	MSH2	END	0,020833	240	5
48	MSH2	END	0,020833	240	5
49	MSH2	END	0,020833	240	5
50	MSH2	END	0,071429	154	11
51	MSH2	END	0,071429	154	11
52	MSH2	END	0,071429	154	11
53	MSH2	END	0,071429	154	11
54	MSH2	END	0,071429	154	11
55	MSH2	END	0,007634	131	1
56	MSH2	END	0,007634	131	1
57	MSH2	END	0,007634	131	1
58	MSH2	END	0,007634	131	1
59	MSH2	END	0,007634	131	1
60	MSH2	END	0,000000	59	0
61	MSH2	END	0,000000	59	0
62	MSH2	END	0,000000	59	0
63	MSH2	END	0,000000	59	0
64	MSH2	END	0,000000	59	0
65	MSH2	END	0,027027	37	1
66	MSH2	END	0,027027	37	1
67	MSH2	END	0,027027	37	1
68	MSH2	END	0,027027	37	1
69	MSH2	END	0,027027	37	1
70	MSH2	END	0,027027	37	1
25	MSH6	END	0,000000	46	0
26	MSH6	END	0,000000	46	0
27	MSH6	END	0,000000	46	0
28	MSH6	END	0,000000	46	0
29	MSH6	END	0,000000	46	0
30	MSH6	END	0,000000	70	0
31	MSH6	END	0,000000	70	0
32	MSH6	END	0,000000	70	0
33	MSH6	END	0,000000	70	0
34	MSH6	END	0,000000	70	0
35	MSH6	END	0,000000	104	0
36	MSH6	END	0,000000	104	0
37	MSH6	END	0,000000	104	0
38	MSH6	END	0,000000	104	0
39	MSH6	END	0,000000	104	0
40	MSH6	END	0,014184	141	2
41	MSH6	END	0,014184	141	2
42	MSH6	END	0,014184	141	2
43	MSH6	END	0,014184	141	2
44	MSH6	END	0,014184	141	2
45	MSH6	END	0,020000	150	3
46	MSH6	END	0,020000	150	3
47	MSH6	END	0,020000	150	3
48	MSH6	END	0,020000	150	3
49	MSH6	END	0,020000	150	3
50	MSH6	END	0,016807	119	2
51	MSH6	END	0,016807	119	2
52	MSH6	END	0,016807	119	2
53	MSH6	END	0,016807	119	2
54	MSH6	END	0,016807	119	2
55	MSH6	END	0,050847	59	3
56	MSH6	END	0,050847	59	3
57	MSH6	END	0,050847	59	3
