Age	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
25	MLH1	OVARIAN	0,000000	414	0
26	MLH1	OVARIAN	0,000000	414	0
27	MLH1	OVARIAN	0,000000	414	0
28	MLH1	OVARIAN	0,000000	414	0
29	MLH1	OVARIAN	0,000000	414	0
30	MLH1	OVARIAN	0,000000	562	0
31	MLH1	OVARIAN	0,000000	562	0
32	MLH1	OVARIAN	0,000000	562	0
33	MLH1	OVARIAN	0,000000	562	0
34	MLH1	OVARIAN	0,000000	562	0
35	MLH1	OVARIAN	0,003021	662	2
36	MLH1	OVARIAN	0,003021	662	2
37	MLH1	OVARIAN	0,003021	662	2
38	MLH1	OVARIAN	0,003021	662	2
39	MLH1	OVARIAN	0,003021	662	2
40	MLH1	OVARIAN	0,003003	666	2
41	MLH1	OVARIAN	0,003003	666	2
42	MLH1	OVARIAN	0,003003	666	2
43	MLH1	OVARIAN	0,003003	666	2
44	MLH1	OVARIAN	0,003003	666	2
45	MLH1	OVARIAN	0,007828	511	4
46	MLH1	OVARIAN	0,007828	511	4
47	MLH1	OVARIAN	0,007828	511	4
48	MLH1	OVARIAN	0,007828	511	4
49	MLH1	OVARIAN	0,007828	511	4
50	MLH1	OVARIAN	0,002841	352	1
51	MLH1	OVARIAN	0,002841	352	1
52	MLH1	OVARIAN	0,002841	352	1
53	MLH1	OVARIAN	0,002841	352	1
54	MLH1	OVARIAN	0,002841	352	1
55	MLH1	OVARIAN	0,000000	216	0
56	MLH1	OVARIAN	0,000000	216	0
57	MLH1	OVARIAN	0,000000	216	0
58	MLH1	OVARIAN	0,000000	216	0
59	MLH1	OVARIAN	0,000000	216	0
60	MLH1	OVARIAN	0,007692	130	1
61	MLH1	OVARIAN	0,007692	130	1
62	MLH1	OVARIAN	0,007692	130	1
63	MLH1	OVARIAN	0,007692	130	1
64	MLH1	OVARIAN	0,007692	130	1
65	MLH1	OVARIAN	0,000000	69	0
66	MLH1	OVARIAN	0,000000	69	0
67	MLH1	OVARIAN	0,000000	69	0
68	MLH1	OVARIAN	0,000000	69	0
69	MLH1	OVARIAN	0,000000	69	0
70	MLH1	OVARIAN	0,000000	69	0
25	MSH2	OVARIAN	0,000000	241	0
26	MSH2	OVARIAN	0,000000	241	0
27	MSH2	OVARIAN	0,000000	241	0
28	MSH2	OVARIAN	0,000000	241	0
29	MSH2	OVARIAN	0,000000	241	0
30	MSH2	OVARIAN	0,003215	311	1
31	MSH2	OVARIAN	0,003215	311	1
32	MSH2	OVARIAN	0,003215	311	1
33	MSH2	OVARIAN	0,003215	311	1
34	MSH2	OVARIAN	0,003215	311	1
35	MSH2	OVARIAN	0,005420	369	2
36	MSH2	OVARIAN	0,005420	369	2
37	MSH2	OVARIAN	0,005420	369	2
38	MSH2	OVARIAN	0,005420	369	2
39	MSH2	OVARIAN	0,005420	369	2
40	MSH2	OVARIAN	0,008955	335	3
41	MSH2	OVARIAN	0,008955	335	3
42	MSH2	OVARIAN	0,008955	335	3
43	MSH2	OVARIAN	0,008955	335	3
44	MSH2	OVARIAN	0,008955	335	3
45	MSH2	OVARIAN	0,008264	242	2
46	MSH2	OVARIAN	0,008264	242	2
47	MSH2	OVARIAN	0,008264	242	2
48	MSH2	OVARIAN	0,008264	242	2
49	MSH2	OVARIAN	0,008264	242	2
50	MSH2	OVARIAN	0,006452	155	1
51	MSH2	OVARIAN	0,006452	155	1
52	MSH2	OVARIAN	0,006452	155	1
53	MSH2	OVARIAN	0,006452	155	1
54	MSH2	OVARIAN	0,006452	155	1
55	MSH2	OVARIAN	0,000000	132	0
56	MSH2	OVARIAN	0,000000	132	0
57	MSH2	OVARIAN	0,000000	132	0
58	MSH2	OVARIAN	0,000000	132	0
59	MSH2	OVARIAN	0,000000	132	0
60	MSH2	OVARIAN	0,000000	62	0
61	MSH2	OVARIAN	0,000000	62	0
62	MSH2	OVARIAN	0,000000	62	0
63	MSH2	OVARIAN	0,000000	62	0
64	MSH2	OVARIAN	0,000000	62	0
65	MSH2	OVARIAN	0,000000	39	0
66	MSH2	OVARIAN	0,000000	39	0
67	MSH2	OVARIAN	0,000000	39	0
68	MSH2	OVARIAN	0,000000	39	0
69	MSH2	OVARIAN	0,000000	39	0
70	MSH2	OVARIAN	0,000000	39	0
25	MSH6	OVARIAN	0,000000	46	0
26	MSH6	OVARIAN	0,000000	46	0
27	MSH6	OVARIAN	0,000000	46	0
28	MSH6	OVARIAN	0,000000	46	0
29	MSH6	OVARIAN	0,000000	46	0
30	MSH6	OVARIAN	0,000000	70	0
31	MSH6	OVARIAN	0,000000	70	0
32	MSH6	OVARIAN	0,000000	70	0
33	MSH6	OVARIAN	0,000000	70	0
34	MSH6	OVARIAN	0,000000	70	0
35	MSH6	OVARIAN	0,000000	104	0
36	MSH6	OVARIAN	0,000000	104	0
37	MSH6	OVARIAN	0,000000	104	0
38	MSH6	OVARIAN	0,000000	104	0
39	MSH6	OVARIAN	0,000000	104	0
40	MSH6	OVARIAN	0,000000	146	0
41	MSH6	OVARIAN	0,000000	146	0
42	MSH6	OVARIAN	0,000000	146	0
43	MSH6	OVARIAN	0,000000	146	0
44	MSH6	OVARIAN	0,000000	146	0
45	MSH6	OVARIAN	0,000000	154	0
46	MSH6	OVARIAN	0,000000	154	0
47	MSH6	OVARIAN	0,000000	154	0
48	MSH6	OVARIAN	0,000000	154	0
49	MSH6	OVARIAN	0,000000	154	0
50	MSH6	OVARIAN	0,000000	125	0
51	MSH6	OVARIAN	0,000000	125	0
52	MSH6	OVARIAN	0,000000	125	0
53	MSH6	OVARIAN	0,000000	125	0
54	MSH6	OVARIAN	0,000000	125	0
55	MSH6	OVARIAN	0,000000	62	0
56	MSH6	OVARIAN	0,000000	62	0
57	MSH6	OVARIAN	0,000000	62	0
58	MSH6	OVARIAN	0,000000	62	0
59	MSH6	OVARIAN	0,000000	62	0
60	MSH6	OVARIAN	0,000000	33	0
61	MSH6	OVARIAN	0,000000	33	0
62	MSH6	OVARIAN	0,000000	33	0
63	MSH6	OVARIAN	0,000000	33	0
64	MSH6	OVARIAN	0,000000	33	0
65	MSH6	OVARIAN	0,000000	29	0
66	MSH6	OVARIAN	0,000000	29	0
67	MSH6	OVARIAN	0,000000	29	0
68	MSH6	OVARIAN	0,000000	29	0
69	MSH6	OVARIAN	0,000000	29	0
70	MSH6	OVARIAN	0,000000	29	0
25	PMS2	OVARIAN	0,000000	4	0
26	PMS2	OVARIAN	0,000000	4	0
27	PMS2	OVARIAN	0,000000	4	0
28	PMS2	OVARIAN	0,000000	4	0
29	PMS2	OVARIAN	0,000000	4	0
30	PMS2	OVARIAN	0,000000	15	0
31	PMS2	OVARIAN	0,000000	15	0
32	PMS2	OVARIAN	0,000000	15	0
33	PMS2	OVARIAN	0,000000	15	0
34	PMS2	OVARIAN	0,000000	15	0
35	PMS2	OVARIAN	0,000000	40	0
36	PMS2	OVARIAN	0,000000	40	0
37	PMS2	OVARIAN	0,000000	40	0
38	PMS2	OVARIAN	0,000000	40	0
39	PMS2	OVARIAN	0,000000	40	0
40	PMS2	OVARIAN	0,000000	30	0
41	PMS2	OVARIAN	0,000000	30	0
42	PMS2	OVARIAN	0,000000	30	0
43	PMS2	OVARIAN	0,000000	30	0
44	PMS2	OVARIAN	0,000000	30	0
45	PMS2	OVARIAN	0,000000	29	0
46	PMS2	OVARIAN	0,000000	29	0
47	PMS2	OVARIAN	0,000000	29	0
48	PMS2	OVARIAN	0,000000	29	0
49	PMS2	OVARIAN	0,000000	29	0
50	PMS2	OVARIAN	0,000000	41	0
51	PMS2	OVARIAN	0,000000	41	0
52	PMS2	OVARIAN	0,000000	41	0
53	PMS2	OVARIAN	0,000000	41	0
54	PMS2	OVARIAN	0,000000	41	0
55	PMS2	OVARIAN	0,000000	34	0
56	PMS2	OVARIAN	0,000000	34	0
57	PMS2	OVARIAN	0,000000	34	0
58	PMS2	OVARIAN	0,000000	34	0
59	PMS2	OVARIAN	0,000000	34	0
60	PMS2	OVARIAN	0,000000	29	0
61	PMS2	OVARIAN	0,000000	29	0
62	PMS2	OVARIAN	0,000000	29	0
63	PMS2	OVARIAN	0,000000	29	0
64	PMS2	OVARIAN	0,000000	29	0
65	PMS2	OVARIAN	0,000000	13	0
66	PMS2	OVARIAN	0,000000	13	0
67	PMS2	OVARIAN	0,000000	13	0
68	PMS2	OVARIAN	0,000000	13	0
69	PMS2	OVARIAN	0,000000	13	0
70	PMS2	OVARIAN	0,000000	13	0
