Age	Sex	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
25	MALE	MLH1	PANCANCER	0,007092	423	3
26	MALE	MLH1	PANCANCER	0,007092	423	3
27	MALE	MLH1	PANCANCER	0,007092	423	3
28	MALE	MLH1	PANCANCER	0,007092	423	3
29	MALE	MLH1	PANCANCER	0,007092	423	3
30	MALE	MLH1	PANCANCER	0,018333	600	11
31	MALE	MLH1	PANCANCER	0,018333	600	11
32	MALE	MLH1	PANCANCER	0,018333	600	11
33	MALE	MLH1	PANCANCER	0,018333	600	11
34	MALE	MLH1	PANCANCER	0,018333	600	11
35	MALE	MLH1	PANCANCER	0,016313	613	10
36	MALE	MLH1	PANCANCER	0,016313	613	10
37	MALE	MLH1	PANCANCER	0,016313	613	10
38	MALE	MLH1	PANCANCER	0,016313	613	10
39	MALE	MLH1	PANCANCER	0,016313	613	10
40	MALE	MLH1	PANCANCER	0,025602	664	17
41	MALE	MLH1	PANCANCER	0,025602	664	17
42	MALE	MLH1	PANCANCER	0,025602	664	17
43	MALE	MLH1	PANCANCER	0,025602	664	17
44	MALE	MLH1	PANCANCER	0,025602	664	17
45	MALE	MLH1	PANCANCER	0,032520	492	16
46	MALE	MLH1	PANCANCER	0,032520	492	16
47	MALE	MLH1	PANCANCER	0,032520	492	16
48	MALE	MLH1	PANCANCER	0,032520	492	16
49	MALE	MLH1	PANCANCER	0,032520	492	16
50	MALE	MLH1	PANCANCER	0,028736	348	10
51	MALE	MLH1	PANCANCER	0,028736	348	10
52	MALE	MLH1	PANCANCER	0,028736	348	10
53	MALE	MLH1	PANCANCER	0,028736	348	10
54	MALE	MLH1	PANCANCER	0,028736	348	10
55	MALE	MLH1	PANCANCER	0,031250	224	7
56	MALE	MLH1	PANCANCER	0,031250	224	7
57	MALE	MLH1	PANCANCER	0,031250	224	7
58	MALE	MLH1	PANCANCER	0,031250	224	7
59	MALE	MLH1	PANCANCER	0,031250	224	7
60	MALE	MLH1	PANCANCER	0,016807	119	2
61	MALE	MLH1	PANCANCER	0,016807	119	2
62	MALE	MLH1	PANCANCER	0,016807	119	2
63	MALE	MLH1	PANCANCER	0,016807	119	2
64	MALE	MLH1	PANCANCER	0,016807	119	2
65	MALE	MLH1	PANCANCER	0,000000	72	0
66	MALE	MLH1	PANCANCER	0,000000	72	0
67	MALE	MLH1	PANCANCER	0,000000	72	0
68	MALE	MLH1	PANCANCER	0,000000	72	0
69	MALE	MLH1	PANCANCER	0,000000	72	0
70	MALE	MLH1	PANCANCER	0,000000	72	0
25	MALE	MSH2	PANCANCER	0,000000	200	0
26	MALE	MSH2	PANCANCER	0,000000	200	0
27	MALE	MSH2	PANCANCER	0,000000	200	0
28	MALE	MSH2	PANCANCER	0,000000	200	0
29	MALE	MSH2	PANCANCER	0,000000	200	0
30	MALE	MSH2	PANCANCER	0,003145	318	1
31	MALE	MSH2	PANCANCER	0,003145	318	1
32	MALE	MSH2	PANCANCER	0,003145	318	1
33	MALE	MSH2	PANCANCER	0,003145	318	1
34	MALE	MSH2	PANCANCER	0,003145	318	1
35	MALE	MSH2	PANCANCER	0,012903	310	4
36	MALE	MSH2	PANCANCER	0,012903	310	4
37	MALE	MSH2	PANCANCER	0,012903	310	4
38	MALE	MSH2	PANCANCER	0,012903	310	4
39	MALE	MSH2	PANCANCER	0,012903	310	4
40	MALE	MSH2	PANCANCER	0,013289	301	4
41	MALE	MSH2	PANCANCER	0,013289	301	4
42	MALE	MSH2	PANCANCER	0,013289	301	4
43	MALE	MSH2	PANCANCER	0,013289	301	4
44	MALE	MSH2	PANCANCER	0,013289	301	4
45	MALE	MSH2	PANCANCER	0,027344	256	7
46	MALE	MSH2	PANCANCER	0,027344	256	7
47	MALE	MSH2	PANCANCER	0,027344	256	7
48	MALE	MSH2	PANCANCER	0,027344	256	7
49	MALE	MSH2	PANCANCER	0,027344	256	7
50	MALE	MSH2	PANCANCER	0,010695	187	2
51	MALE	MSH2	PANCANCER	0,010695	187	2
52	MALE	MSH2	PANCANCER	0,010695	187	2
53	MALE	MSH2	PANCANCER	0,010695	187	2
54	MALE	MSH2	PANCANCER	0,010695	187	2
55	MALE	MSH2	PANCANCER	0,057554	139	8
56	MALE	MSH2	PANCANCER	0,057554	139	8
57	MALE	MSH2	PANCANCER	0,057554	139	8
58	MALE	MSH2	PANCANCER	0,057554	139	8
59	MALE	MSH2	PANCANCER	0,057554	139	8
60	MALE	MSH2	PANCANCER	0,044118	68	3
61	MALE	MSH2	PANCANCER	0,044118	68	3
62	MALE	MSH2	PANCANCER	0,044118	68	3
63	MALE	MSH2	PANCANCER	0,044118	68	3
64	MALE	MSH2	PANCANCER	0,044118	68	3
65	MALE	MSH2	PANCANCER	0,074074	27	2
