Age	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
25	MLH1	UGI	0,000000	835	0
26	MLH1	UGI	0,000000	835	0
27	MLH1	UGI	0,000000	835	0
28	MLH1	UGI	0,000000	835	0
29	MLH1	UGI	0,000000	835	0
30	MLH1	UGI	0,000000	1158	0
31	MLH1	UGI	0,000000	1158	0
32	MLH1	UGI	0,000000	1158	0
33	MLH1	UGI	0,000000	1158	0
34	MLH1	UGI	0,000000	1158	0
35	MLH1	UGI	0,000776	1288	1
36	MLH1	UGI	0,000776	1288	1
37	MLH1	UGI	0,000776	1288	1
38	MLH1	UGI	0,000776	1288	1
39	MLH1	UGI	0,000776	1288	1
40	MLH1	UGI	0,002884	1387	4
41	MLH1	UGI	0,002884	1387	4
42	MLH1	UGI	0,002884	1387	4
43	MLH1	UGI	0,002884	1387	4
44	MLH1	UGI	0,002884	1387	4
45	MLH1	UGI	0,000945	1058	1
46	MLH1	UGI	0,000945	1058	1
47	MLH1	UGI	0,000945	1058	1
48	MLH1	UGI	0,000945	1058	1
49	MLH1	UGI	0,000945	1058	1
50	MLH1	UGI	0,002538	788	2
51	MLH1	UGI	0,002538	788	2
52	MLH1	UGI	0,002538	788	2
53	MLH1	UGI	0,002538	788	2
54	MLH1	UGI	0,002538	788	2
55	MLH1	UGI	0,006098	492	3
56	MLH1	UGI	0,006098	492	3
57	MLH1	UGI	0,006098	492	3
58	MLH1	UGI	0,006098	492	3
59	MLH1	UGI	0,006098	492	3
60	MLH1	UGI	0,010830	277	3
61	MLH1	UGI	0,010830	277	3
62	MLH1	UGI	0,010830	277	3
63	MLH1	UGI	0,010830	277	3
64	MLH1	UGI	0,010830	277	3
65	MLH1	UGI	0,013986	143	2
66	MLH1	UGI	0,013986	143	2
67	MLH1	UGI	0,013986	143	2
68	MLH1	UGI	0,013986	143	2
69	MLH1	UGI	0,013986	143	2
70	MLH1	UGI	0,013986	143	2
25	MSH2	UGI	0,000000	441	0
26	MSH2	UGI	0,000000	441	0
27	MSH2	UGI	0,000000	441	0
28	MSH2	UGI	0,000000	441	0
29	MSH2	UGI	0,000000	441	0
30	MSH2	UGI	0,000000	629	0
31	MSH2	UGI	0,000000	629	0
32	MSH2	UGI	0,000000	629	0
33	MSH2	UGI	0,000000	629	0
34	MSH2	UGI	0,000000	629	0
35	MSH2	UGI	0,000000	672	0
36	MSH2	UGI	0,000000	672	0
37	MSH2	UGI	0,000000	672	0
38	MSH2	UGI	0,000000	672	0
39	MSH2	UGI	0,000000	672	0
40	MSH2	UGI	0,001546	647	1
41	MSH2	UGI	0,001546	647	1
42	MSH2	UGI	0,001546	647	1
43	MSH2	UGI	0,001546	647	1
44	MSH2	UGI	0,001546	647	1
45	MSH2	UGI	0,003891	514	2
46	MSH2	UGI	0,003891	514	2
47	MSH2	UGI	0,003891	514	2
48	MSH2	UGI	0,003891	514	2
49	MSH2	UGI	0,003891	514	2
50	MSH2	UGI	0,002725	367	1
51	MSH2	UGI	0,002725	367	1
52	MSH2	UGI	0,002725	367	1
53	MSH2	UGI	0,002725	367	1
54	MSH2	UGI	0,002725	367	1
55	MSH2	UGI	0,003333	300	1
56	MSH2	UGI	0,003333	300	1
57	MSH2	UGI	0,003333	300	1
58	MSH2	UGI	0,003333	300	1
59	MSH2	UGI	0,003333	300	1
