Age	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
25	MLH1	URO	0,000000	835	0
26	MLH1	URO	0,000000	835	0
27	MLH1	URO	0,000000	835	0
28	MLH1	URO	0,000000	835	0
29	MLH1	URO	0,000000	835	0
30	MLH1	URO	0,000000	1158	0
31	MLH1	URO	0,000000	1158	0
32	MLH1	URO	0,000000	1158	0
33	MLH1	URO	0,000000	1158	0
34	MLH1	URO	0,000000	1158	0
35	MLH1	URO	0,000000	1288	0
36	MLH1	URO	0,000000	1288	0
37	MLH1	URO	0,000000	1288	0
38	MLH1	URO	0,000000	1288	0
39	MLH1	URO	0,000000	1288	0
40	MLH1	URO	0,000000	1387	0
41	MLH1	URO	0,000000	1387	0
42	MLH1	URO	0,000000	1387	0
43	MLH1	URO	0,000000	1387	0
44	MLH1	URO	0,000000	1387	0
45	MLH1	URO	0,001890	1058	2
46	MLH1	URO	0,001890	1058	2
47	MLH1	URO	0,001890	1058	2
48	MLH1	URO	0,001890	1058	2
49	MLH1	URO	0,001890	1058	2
50	MLH1	URO	0,001269	788	1
51	MLH1	URO	0,001269	788	1
52	MLH1	URO	0,001269	788	1
53	MLH1	URO	0,001269	788	1
54	MLH1	URO	0,001269	788	1
55	MLH1	URO	0,000000	492	0
56	MLH1	URO	0,000000	492	0
57	MLH1	URO	0,000000	492	0
58	MLH1	URO	0,000000	492	0
59	MLH1	URO	0,000000	492	0
60	MLH1	URO	0,000000	277	0
61	MLH1	URO	0,000000	277	0
62	MLH1	URO	0,000000	277	0
63	MLH1	URO	0,000000	277	0
64	MLH1	URO	0,000000	277	0
65	MLH1	URO	0,000000	143	0
66	MLH1	URO	0,000000	143	0
67	MLH1	URO	0,000000	143	0
68	MLH1	URO	0,000000	143	0
69	MLH1	URO	0,000000	143	0
70	MLH1	URO	0,000000	143	0
25	MSH2	URO	0,000000	441	0
26	MSH2	URO	0,000000	441	0
27	MSH2	URO	0,000000	441	0
28	MSH2	URO	0,000000	441	0
29	MSH2	URO	0,000000	441	0
30	MSH2	URO	0,000000	629	0
31	MSH2	URO	0,000000	629	0
32	MSH2	URO	0,000000	629	0
33	MSH2	URO	0,000000	629	0
34	MSH2	URO	0,000000	629	0
35	MSH2	URO	0,000000	672	0
