Age	Sex	Gene	Cancer	Years_5int	Cases_5int	Annual_incidence_rate
25	BOTH	MLH1	CRC	46	0	0,000000
26	BOTH	MLH1	CRC	46	0	0,000000
27	BOTH	MLH1	CRC	46	0	0,000000
28	BOTH	MLH1	CRC	46	0	0,000000
29	BOTH	MLH1	CRC	46	0	0,000000
30	BOTH	MLH1	CRC	125	1	0,008000
31	BOTH	MLH1	CRC	125	1	0,008000
32	BOTH	MLH1	CRC	125	1	0,008000
33	BOTH	MLH1	CRC	125	1	0,008000
34	BOTH	MLH1	CRC	125	1	0,008000
35	BOTH	MLH1	CRC	245	1	0,004082
36	BOTH	MLH1	CRC	245	1	0,004082
37	BOTH	MLH1	CRC	245	1	0,004082
38	BOTH	MLH1	CRC	245	1	0,004082
39	BOTH	MLH1	CRC	245	1	0,004082
40	BOTH	MLH1	CRC	418	5	0,011962
41	BOTH	MLH1	CRC	418	5	0,011962
42	BOTH	MLH1	CRC	418	5	0,011962
43	BOTH	MLH1	CRC	418	5	0,011962
44	BOTH	MLH1	CRC	418	5	0,011962
45	BOTH	MLH1	CRC	552	8	0,014493
46	BOTH	MLH1	CRC	552	8	0,014493
47	BOTH	MLH1	CRC	552	8	0,014493
48	BOTH	MLH1	CRC	552	8	0,014493
49	BOTH	MLH1	CRC	552	8	0,014493
50	BOTH	MLH1	CRC	640	13	0,020313
51	BOTH	MLH1	CRC	640	13	0,020313
52	BOTH	MLH1	CRC	640	13	0,020313
53	BOTH	MLH1	CRC	640	13	0,020313
54	BOTH	MLH1	CRC	640	13	0,020313
55	BOTH	MLH1	CRC	609	13	0,021346
56	BOTH	MLH1	CRC	609	13	0,021346
57	BOTH	MLH1	CRC	609	13	0,021346
58	BOTH	MLH1	CRC	609	13	0,021346
59	BOTH	MLH1	CRC	609	13	0,021346
60	BOTH	MLH1	CRC	522	14	0,026820
61	BOTH	MLH1	CRC	522	14	0,026820
62	BOTH	MLH1	CRC	522	14	0,026820
63	BOTH	MLH1	CRC	522	14	0,026820
64	BOTH	MLH1	CRC	522	14	0,026820
65	BOTH	MLH1	CRC	427	13	0,030445
66	BOTH	MLH1	CRC	427	13	0,030445
67	BOTH	MLH1	CRC	427	13	0,030445
68	BOTH	MLH1	CRC	427	13	0,030445
69	BOTH	MLH1	CRC	427	13	0,030445
70	BOTH	MLH1	CRC	427	13	0,030445
25	BOTH	MSH2	CRC	25	1	0,040000
26	BOTH	MSH2	CRC	25	1	0,040000
27	BOTH	MSH2	CRC	25	1	0,040000
28	BOTH	MSH2	CRC	25	1	0,040000
29	BOTH	MSH2	CRC	25	1	0,040000
30	BOTH	MSH2	CRC	48	0	0,000000
31	BOTH	MSH2	CRC	48	0	0,000000
32	BOTH	MSH2	CRC	48	0	0,000000
33	BOTH	MSH2	CRC	48	0	0,000000
34	BOTH	MSH2	CRC	48	0	0,000000
35	BOTH	MSH2	CRC	146	1	0,006849
36	BOTH	MSH2	CRC	146	1	0,006849
37	BOTH	MSH2	CRC	146	1	0,006849
38	BOTH	MSH2	CRC	146	1	0,006849
39	BOTH	MSH2	CRC	146	1	0,006849
40	BOTH	MSH2	CRC	310	6	0,019355
41	BOTH	MSH2	CRC	310	6	0,019355
42	BOTH	MSH2	CRC	310	6	0,019355
43	BOTH	MSH2	CRC	310	6	0,019355
44	BOTH	MSH2	CRC	310	6	0,019355
45	BOTH	MSH2	CRC	399	9	0,022556
46	BOTH	MSH2	CRC	399	9	0,022556
47	BOTH	MSH2	CRC	399	9	0,022556
48	BOTH	MSH2	CRC	399	9	0,022556
49	BOTH	MSH2	CRC	399	9	0,022556
50	BOTH	MSH2	CRC	432	8	0,018519
51	BOTH	MSH2	CRC	432	8	0,018519
52	BOTH	MSH2	CRC	432	8	0,018519
53	BOTH	MSH2	CRC	432	8	0,018519
54	BOTH	MSH2	CRC	432	8	0,018519
55	BOTH	MSH2	CRC	408	12	0,029412
56	BOTH	MSH2	CRC	408	12	0,029412
57	BOTH	MSH2	CRC	408	12	0,029412
58	BOTH	MSH2	CRC	408	12	0,029412
59	BOTH	MSH2	CRC	408	12	0,029412
60	BOTH	MSH2	CRC	344	3	0,008721
61	BOTH	MSH2	CRC	344	3	0,008721
62	BOTH	MSH2	CRC	344	3	0,008721
63	BOTH	MSH2	CRC	344	3	0,008721
64	BOTH	MSH2	CRC	344	3	0,008721
65	BOTH	MSH2	CRC	260	8	0,030769
66	BOTH	MSH2	CRC	260	8	0,030769
67	BOTH	MSH2	CRC	260	8	0,030769
68	BOTH	MSH2	CRC	260	8	0,030769
69	BOTH	MSH2	CRC	260	8	0,030769
70	BOTH	MSH2	CRC	260	8	0,030769
25	BOTH	MSH6	CRC	1	0	0,000000
26	BOTH	MSH6	CRC	1	0	0,000000
27	BOTH	MSH6	CRC	1	0	0,000000
28	BOTH	MSH6	CRC	1	0	0,000000
29	BOTH	MSH6	CRC	1	0	0,000000
30	BOTH	MSH6	CRC	11	0	0,000000
31	BOTH	MSH6	CRC	11	0	0,000000
32	BOTH	MSH6	CRC	11	0	0,000000
33	BOTH	MSH6	CRC	11	0	0,000000
34	BOTH	MSH6	CRC	11	0	0,000000
35	BOTH	MSH6	CRC	29	0	0,000000
36	BOTH	MSH6	CRC	29	0	0,000000
37	BOTH	MSH6	CRC	29	0	0,000000
38	BOTH	MSH6	CRC	29	0	0,000000
39	BOTH	MSH6	CRC	29	0	0,000000
40	BOTH	MSH6	CRC	49	0	0,000000
41	BOTH	MSH6	CRC	49	0	0,000000
42	BOTH	MSH6	CRC	49	0	0,000000
43	BOTH	MSH6	CRC	49	0	0,000000
44	BOTH	MSH6	CRC	49	0	0,000000
45	BOTH	MSH6	CRC	67	0	0,000000
46	BOTH	MSH6	CRC	67	0	0,000000
47	BOTH	MSH6	CRC	67	0	0,000000
48	BOTH	MSH6	CRC	67	0	0,000000
49	BOTH	MSH6	CRC	67	0	0,000000
50	BOTH	MSH6	CRC	92	1	0,010870
51	BOTH	MSH6	CRC	92	1	0,010870
52	BOTH	MSH6	CRC	92	1	0,010870
53	BOTH	MSH6	CRC	92	1	0,010870
54	BOTH	MSH6	CRC	92	1	0,010870
55	BOTH	MSH6	CRC	159	2	0,012579
56	BOTH	MSH6	CRC	159	2	0,012579
57	BOTH	MSH6	CRC	159	2	0,012579
58	BOTH	MSH6	CRC	159	2	0,012579
59	BOTH	MSH6	CRC	159	2	0,012579
60	BOTH	MSH6	CRC	202	2	0,009901
61	BOTH	MSH6	CRC	202	2	0,009901
62	BOTH	MSH6	CRC	202	2	0,009901
63	BOTH	MSH6	CRC	202	2	0,009901
64	BOTH	MSH6	CRC	202	2	0,009901
65	BOTH	MSH6	CRC	115	2	0,017391
66	BOTH	MSH6	CRC	115	2	0,017391
67	BOTH	MSH6	CRC	115	2	0,017391
68	BOTH	MSH6	CRC	115	2	0,017391
69	BOTH	MSH6	CRC	115	2	0,017391
70	BOTH	MSH6	CRC	115	2	0,017391
25	BOTH	PMS2	CRC	1	0	0,000000
26	BOTH	PMS2	CRC	1	0	0,000000
27	BOTH	PMS2	CRC	1	0	0,000000
28	BOTH	PMS2	CRC	1	0	0,000000
29	BOTH	PMS2	CRC	1	0	0,000000
30	BOTH	PMS2	CRC	0	0	0,000000
31	BOTH	PMS2	CRC	0	0	0,000000
32	BOTH	PMS2	CRC	0	0	0,000000
33	BOTH	PMS2	CRC	0	0	0,000000
34	BOTH	PMS2	CRC	0	0	0,000000
35	BOTH	PMS2	CRC	4	0	0,000000
36	BOTH	PMS2	CRC	4	0	0,000000
37	BOTH	PMS2	CRC	4	0	0,000000
38	BOTH	PMS2	CRC	4	0	0,000000
39	BOTH	PMS2	CRC	4	0	0,000000
40	BOTH	PMS2	CRC	11	0	0,000000
41	BOTH	PMS2	CRC	11	0	0,000000
42	BOTH	PMS2	CRC	11	0	0,000000
43	BOTH	PMS2	CRC	11	0	0,000000
44	BOTH	PMS2	CRC	11	0	0,000000
45	BOTH	PMS2	CRC	6	0	0,000000
46	BOTH	PMS2	CRC	6	0	0,000000
47	BOTH	PMS2	CRC	6	0	0,000000
48	BOTH	PMS2	CRC	6	0	0,000000
49	BOTH	PMS2	CRC	6	0	0,000000
50	BOTH	PMS2	CRC	20	0	0,000000
51	BOTH	PMS2	CRC	20	0	0,000000
52	BOTH	PMS2	CRC	20	0	0,000000
53	BOTH	PMS2	CRC	20	0	0,000000
